ProjectID,ProjectName,Location,Budget_Lac,Spent_Lac,Status,StartDate,EndDate,LabourCount,CementUsed_tons,MaterialUsed_tons,ProgressPercent,ClientName,SiteEngineer,Phase
P1030,Capital View Towers,Delhi,500,460,OnTrack,2024-02-20,2026-02-28,78,490,800,85,Metro Infrastructure,Harish Chandra,Structure
P1031,Mahaveer Gardens,Kanpur,100,95,Completed,2023-07-01,2024-04-30,16,100,190,100,Raj Constructions,Vandana Shukla,Completed
P1032,Harmony Park Villas,Lucknow,195,90,OnTrack,2024-06-10,2025-11-30,30,220,370,55,Green Build,Suresh Dwivedi,Structure
P1033,Daffodil Enclave,Agra,85,40,OnHold,2024-11-01,2026-01-31,10,55,105,40,Urban Projects,Meena Pathak,Foundation
P1034,Prestige Square,Noida,460,420,OnTrack,2024-01-15,2025-11-30,74,470,770,88,XYZ Builders,Lalit Bhatia,Finishing
P1035,Golf Greens Residency,Gurgaon,390,350,OnTrack,2024-03-10,2026-04-30,62,400,660,82,ABC Corp,Preethi Nair,Structure
P1036,Crystal Palace Condos,Faridabad,165,155,Completed,2023-02-01,2024-06-30,26,210,350,100,City Developers,Rajiv Tandon,Completed
P1037,Vishal Nagar Society,Greater Noida,275,200,OnTrack,2024-04-20,2025-10-31,46,330,540,70,National Housing,Anita Bhatt,Structure
P1038,Pioneer Business Centre,Delhi,440,130,Delayed,2024-07-01,2026-01-31,22,160,280,28,Metro Infrastructure,Sudhir Agarwal,Foundation
P1039,Lakeview Retreat,Kanpur,135,70,OnTrack,2024-05-15,2025-09-30,20,150,260,52,Raj Constructions,Monika Soni,Structure
P1040,Marigold Township,Lucknow,310,280,OnTrack,2024-01-20,2025-08-31,54,380,620,85,Green Build,Prakash Mishra,Finishing
P1041,Amber Heights Block-C,Agra,115,100,Delayed,2023-10-10,2025-01-31,18,130,230,85,Urban Projects,Seema Tripathi,Finishing
P1042,Sterling Residency,Noida,355,310,OnTrack,2024-02-25,2025-12-31,58,370,610,80,XYZ Builders,Vipin Srivastava,Structure
P1043,Diamond City Phase-3,Gurgaon,480,50,OnHold,2025-03-01,2027-02-28,8,65,120,10,ABC Corp,Kavya Menon,Foundation
P1044,Jasmine Gardens,Faridabad,155,75,OnTrack,2024-06-01,2025-11-30,24,170,300,50,City Developers,Dhruv Khanna,Structure
P1045,Panorama Towers,Greater Noida,430,390,Delayed,2023-08-01,2025-02-28,68,440,720,89,National Housing,Rashmi Gupta,Finishing
P1046,Ashoka Enclave,Delhi,285,255,OnTrack,2024-03-05,2025-10-31,50,340,560,85,Metro Infrastructure,Gaurav Joshi,Structure
P1047,Tranquil Villas,Kanpur,90,85,Completed,2023-08-15,2024-05-31,14,90,165,100,Raj Constructions,Asha Tiwari,Completed
P1048,Springdale Residency,Lucknow,210,100,OnTrack,2024-07-10,2026-01-31,32,240,400,45,Green Build,Rakesh Dubey,Structure
P1049,Celeste Commercial Hub,Agra,370,330,OnTrack,2024-02-15,2025-12-31,60,390,640,84,Urban Projects,Nandini Pal,Finishing
